TweetDate,TweetText
"2020-06-30 03:49:30+00:00","Wardina is the result of seeking inner wisdom. Trying to find true meaning of spiritual change. She only speaks up when it’s crucial, bukan semua benda nak komen. Wardina pernah tegur Vivy on usage of plastic at bazar. Few years later, vivy launched the Conscious dUCk product" 
"2020-07-25 08:16:00+00:00","Kami gembira kerana Calmer® menolong beberapa orang menghidap tinnitus mereka. https://www.flareaudio.com/pages/calmer-life" 
"2020-06-29 15:01:20+00:00","The temptation of buying duck’s mask ... tapi tengok vivy pakai dah la besar and tak kemas.. but i want .. the capitalist really got me " 
"2020-06-28 08:26:00+00:00","Mak cakap lagi mahal ni kak, dUCk ni bukan yg Vivy tu ke? Selalu Siti Khadijah kali ni kita merasa lah pakai telekung duck " 
"2020-06-28 08:01:31+00:00","Apa beza you guys yang jual fake dUCk dengan Vivy?" 
"2020-06-28 07:50:18+00:00","Watch out Tun M I see a sniper on the freaking bridge, dUckkkk !! Damn I hate dUck, get lost Vivy" 
"2020-06-25 04:17:13+00:00","Tengah cakap pasal duck tiba2 kak vivy depan mata" 
"2020-06-23 12:30:51+00:00","How to tell a friend yg suka dUCk that vivy steals ideas from SMOL businesses??" 
"2020-06-21 04:08:29+00:00","#DioramaAhad: Isu Tali Leher Sutera, Bagaimana Vivy Yusof Dan dUCk Boleh Terlepas Pandang? https://ift.tt/3fK5E4B" 
"2020-06-19 18:26:51+00:00","I wont throw all my duck scarves but at the same time i wont purchase anymore. I mean, u paid for those tudung then nak buang for what? U rugi and vivy still untung sebab duit dah dapat." 
"2020-06-19 12:55:26+00:00","Mmg. Tapi org yg kecam bukan sbb marvel tapi sbb vivy depa kan boikot duck ni. Semua yg beli nak kecam. Apoooo. Biar la taste org kan. Dah org suka." 
"2020-06-19 06:21:55+00:00","I dont understand why you guys bising over Vivy’s duck’s necktie. Cuba check your Hermes/Ferragamo/whatever necktie guna material apa" 
"2020-06-19 04:12:38+00:00","Nobody said you cant hate dUck. But to hate vivy &amp; say nasty things abt her kids, nahhh man. Dont hate on ppl just because they live life better than you! You dont have to hate just because others do" 
"2020-06-19 03:45:38+00:00","Marketing basically means you are trying to create awareness on something. If this is Duck's marketing strategy, it means they are trying to create awareness that their Big Bosses like Vivy Yusof and Fadza Anuar are ignorant and insensitive Muslims." 
"2020-06-19 02:44:59+00:00","Ni fake. Jgn Percaya la Alibaba tu. Bukan nak backup vivy. Tapi duck tu brand besar. Jual kat Uk, brunei and Singapore. Kalau tak original or takde license, before launch dah kena banned" 
"2020-06-19 01:11:48+00:00","haram dipakai*..tie keluaran duck dgn marvel tu kain dia 100% sutera..laki dihrmkan pakai sutera..tu last2 vivy bagi refund n buat bagi free kat non-muslim kalau tak silap haha" 
"2020-06-19 00:23:33+00:00","Mampus orientasi tahun depan, semua budak baru kena beli tudung Duck Terbaik Vivy Yusuf, Ahli Lembaga Pengarah UITM " 
"2020-06-19 00:07:01+00:00","Kenapa ramai tak caye duck collab dgn Marvel tu? Before this dia pernah collab dgn Disney 3 kali kot. Mattel Barbie 2 kali. Dgn HRH princess of Brunei pun dia pernah collab dulu. Vivy tu nak dpt contact aku rasa petik jari je" 
"2020-06-18 17:54:04+00:00","Really?! Hahahaha ok. Vivy gotta fire duck’s R&amp;D dept man haha" 
"2020-06-18 17:31:41+00:00","Vivy and her silk ties. Someone must have signed on the approval memo or something right? When they did something wrong, as usual they cover it up by doing charity. People will go awww. The design is like a collage made by a primary school kid. #oopsvivydoesitagain #DUCK" 
"2020-06-18 15:49:39+00:00","As a regular #duckscarves consumer, I could say this is slump era for dUCk. I hope Dato' Fadza will accept this fact with open heart as I do. Kindly investigate and revert on each of your mistakes and I believe Vivy Yusof putting big role on it as she's Creative Officer." 
"2020-06-18 15:26:28+00:00","sorry vivy tp design collab marvel buruk gila. tp yg duck birthday edition tu lawaaaa" 
"2020-07-25 08:16:00+00:00","Kami gembira kerana Calmer® menolong beberapa orang menghidap tinnitus mereka. https://www.flareaudio.com/pages/calmer-life" 
"2020-06-18 14:33:43+00:00","Mcm mane vivy yusof market duck eh? Mcm tiap2 tahun mesti buat taik.. Seronok ke hidup org caci maki ni " 
"2020-06-18 14:26:47+00:00","Dah boleh stop kut yg support dUck tu? Bukan tanak bg support local but judging at how ignorant vivy yusof is, better stop la gais. Haihhhhhhhhh" 
"2020-06-18 14:12:29+00:00","I think after several things happened before, duck aims for publicity to promote their products. Nice marketing, vivy. Founder muslim, takkan lah taktau langsung kannn " 
"2020-06-18 12:16:11+00:00","punya la netizen anti si vivy ni sampai setiap kali keluar design/produk duck yg baru mesti akan timbul isu dan orang kritik kaw2.. aku tak pernah pun beli any tudung/produk duck so aku nak rilek je dulu " 
