TweetText,TweetSentiment
perempuan tu apesal aku rasa mcm pernah nampak?? student unisel ke cane eh,neutral
Polis tangkap dia.,negative
Kenapa lokasi kebakaran nya terlalu spesifik? https://t.co/3nXW4KQm8R,negative
@YuleumSummer Waa senang nye lah nk bersalin..ape tips alia eh..share lahh,positive
DAULAT TUANKU! Merafak sembah dan takzim KDYMM Seri Paduka Baginda Yang Dipertuan Agong Al-Sultan Abdullah Ri'ayat https://t.co/CxvPqpVi47,positive
Menyesal tnye nak apa for birthday,negative
Apa yang meriah sangat tah,negative
Orang utara untung kalau duduk kedah sebab sini harga dia half price dari tu untuk root canal. Untung kat jimat dui https://t.co/rXeXYWgIJL,positive
@GgGhazali2 sabaq sabaq,neutral
@iyeneee @yogamuda @newsplatter asal bs kelar kerja jam 5 sik. kl br diajak meeting jam 5 kelar jam 7 mah bye atau https://t.co/fg1tpTXKaW,negative
@alyfalif @haniffrani_ @fashionistabish @asyrafazmy Hmmm minta dorang pasang pencawang phone sekali. Asyik emergency call je,negative
IOW PKP 3.0/PROKLAMASI DARURAT/VAKSIN COVID-19/ TASK FORCE PEJABAT PENERANGAN DAERAH SETIU Parlimen : P.034 Setiu DUN : N.06 Permaisuri Tarikh : 09 Jun 2021 (Rabu) Masa : 9.00 pg 12.00 tengahari #MalaysiaPrihatin #japentrg #kitaAkanmenang #Covid19 https://t.co/aIikbeL9oe,neutral
Keceriaan di kem latihan setempat @FCTerengganu dan Terengganu FC II https://t.co/umGIAP0VHv,positive
"@kayniskay As orang Muar yg dah involved dua2 party, saddiq is the most reliable one. Masa dia jadi menteri dulu pun, apa je kitorang mintak, semua dia bagi kalau dia boleh bagi. Dah jadi pembangkang pun, still kerja jalan jugak. Maybe masa jadi menteri, ",positive
Tinggal 1 barang je tak sampai lagi. Dah boleh uninstall shopee,negative
#KerajaanGagal 70 juta ke,negative
Avoid 1 Jalan Tuaran near Jalan Sekoli #kltu. You'll be stuck 22m longer than usual https://t.co/2id70cmjlt https://t.co/A8sUJmIK5d,neutral
"Boleh ke team ni pi selatan pulak, ambil gambar drone. Pemandangannya pun 'agak indah'. Pi nun belah2 Tg Piai. Ke T https://t.co/wwGNk22eSs",positive
Assalamualaikum YB @SyedSaddiq . Are you coming down to Parit Yusof? Sebab my grandparents kat sana rasanya tak daftar vaksin lagi They don't have smartphones. Please help,negative
Terengganu tumbang?,negative
CAPEK,negative
"Terbaik bang tmbh lagi respect aq dkat ko. Aq dh lah minat ko berlakon, dan2 ko bersuara plak psal isu ni artis https://t.co/zXpBx0DfeM",positive
finally potong jugak gelangnya https://t.co/C9okV5FA63,positive
Agak agak sambung lagi ke pkp ni ?,positive
@nikamily @Urra901109 Ko pancitkan keter dia. Apsal ko xtegur? Senior mana tagcall da lol. Ke pukik?,negative
Pande tetak indah ku maca tak duak menyuweet bepantun dalam comment. Tak duak sikda ws kah? Mun sikda ws pake ws aku lok. Kedong ku sik make,negative
@malu2funky sik tak obrak abrik kedamaiane @EnjoyTheFilm,neutral
"NEW VD 2021 ABANG KULI BATU BATA JOIN FULL VD, 50K 18 GRUB: KOLEKSI RIAN GVID LOKAL VIP PRANK STR8 PUNYAHOBBY DAD&amp;BEAR ASIAN VIP BEEFCAKE HUNTER VIDEO VIP DAN PREMIUM LAINNYA ORDER KLIK https://t.co/HstFd0wiYs CEK KATALOG @masterlokal https://t.co/pnxYfUKG8T",neutral
"Mantabb (@ Nasi Lemak Ujong Pasir in Malacca, Melaka) https://t.co/pxkzMrwGXp https://t.co/wWpZrqXDwr",positive
@Sataanize biasa nic di subang,neutral
KJRI Jeddah Ungkap Alasan Arab Saudi Belum Umumkan Keputusan Soal Haji https://t.co/OOzj8BBFAd Dana Haji Aman #StopHoaxDanaHaji,positive
