TweetText,TweetSentiment
Why vivy turned off comments for this unboxing fake duck ???!,-1
"Vivy Yusof is cancel. Good Bye Duck. I've been supporting you for the longest ever since you produce Bamboo material ke apa entah tu. Now, I feel so guilty towards your staff when you're coming up w that kind of statement. Kesiannya.",-1
"Vivy, I love your tudung but I hate your attitude that makes me want to hate your tudung. From today onwards I will not buy any duck scarves anymore",-1
samalah.. hahaha never know that lady and vivy sori ur scarf really not for me.. duit bli duck buat bli susu my kids,-1
"vivy, duck and her team or whatever is cancelled. lmao",-1
"Whatever Vivy opinion, i don't care and don't mind because I'm totally not in to Duck scarves or Duck Cosmetics but I'm totally support local production.Your piece of plain shawls is not relevance price.Plain piece no need to pay more to designer.",-1
Apologies not accepted vivy.Boycott duck,-1
Cancel Vivy Cancel Duck,-1
"Sorry Vivy Yusof. You, Fashion Valet and Duck is cancelled",-1
"Because of Vivy's fiasco this morning, my sister-in-law decided to boycott Duck product. Mind you, she's an avid Duck lover.",-1
"Vivy knowing that her business is gonna flop in the coming couple of months due to RMO, and whatever she did earlier today is going to make it worse. and now she's trying so hard to prove her innocence cause otherwise FV &amp; Ducks' sale gonna be far fetched from what she expected.",-1
"looking at vivy yusof's lifestyle in the internet makes me stop buying from dUCK. ever again. she have her good points but, sometimes she lacks of empathy because of her background.",-1
ok just my opinion la kan i love vivy cuz shes like funny gitu but duck? idk their mss is love bcs the color je tau but the material the jahitan all that other brand is sooo much better plus cheaper i tell you dah la susah nak jaga just dont buy it thats all,-1
By the way I tried duck lipgloss vivy yusuf. Bad quality and fucking expensive. Better I buy fenty,-1
"Seeing people boycotting Vivy Yusof, Fashion Valet and dUCk is the scariest thing to happen. As a reminder, please proofread your writing prior of posting it.",-1
"hahaha done unfollow all fashionvalet, vivy and duck. baru jmpe comment. so harsh",-1
so vivy is cancelled? who want preloved duck ? hahahah,-1
Please stop buying Duck from Vivy Yusof company.,-1
"Unfollowed vivy and duck :/ honestly cant tolerate her idiocy anymore, got two parcel from fv that I bought last week and that shall be my last purchase from her company. It's time to support other businesses.",-1
Unfollow vivy and duck insta,-1
Ditch duck scarves n vivy yusof n all deir circles.,-1
vivy is cancelled. dUCK scarves is cancelled.,-1
Why need vivy's duck when you can buy the vietnam one?,-1
"Me reading thru all the talks bout Vivy and reminiscing the money I spent buying Duck for myself, my mom and my sisters Not to mention I hv 1 more scarf &amp; a blouse from fv basic in my basket, waiting for the payment Nasib baik semalam too mengantuk to proceed with payment",-1
"Sorry la Vivy, I dah x kuasa nak support fashion valet or duck lagi lepas ni. No more dUCk scarves from now!",-1
"yes pls cancelled ,Unfollow Vivy ,duck and anything related . Beli je tudung kat Masjid Jamek .Save your money for wedding",-1
