TweetText,TweetSentiment
Suasana uniten very good,positive
Burger kat uniten sedap gile,positive
Suka gilerr library uniten,positive
24 hour study area sangat luas,positive
Internet uniten sangat lah fast,positive
luvv betul dengan aircond uniten ,positive
enviroment university yang cantik,positive
uniten class room sangat big,positive
Uniten wifi so mantop,positive
Uniten facilities tidak perlu bayar,positive
Weh UNITEN got alot of shops to eat,positive
Uniten ada free water~~~ Itu kena bayar la broo...bkn ambik free je,positive
Uniten is so the sangat bestttt,positive
uniten top uniten padu,positive
UNITEN ade makanan yang paling tasty,positive
Library UNITEN ada so many buku,positive
Room here are very the bagus,positive
uniten has banyak the parking,positive
Saya Love UNITEN sangat ,positive
Student UNITEN teramatlah ramah,positive
Eduroam terveryyy mantap,positive
Class sejuk,positive
Banyak Friendly  Senior..lorrhh Damm ,positive
WIFI Connection terbaiks,positive
24 hour study area sangat luas,positive
Amanah Guard the best,positive
Uniten facilities so mantap,positive
Murni bilik sangat the comfortable,positive
ALL tempat di Uniten very BERSIH,positive
Environment at uniten terbaik,positive
Masjid Uniten bersih,positive
The cafe near Library best food ,positive
The food in Uniten sedap gila,positive
Murni is so clean,positive
UCC service very pantas,positive
Bangun pagi brush teeth,positive
Weather harini sangat baik,positive
The customer service sangat membantu,positive
The counter a kak so cute ,positive
uniten coe drink sedap ,positive
uniten padang so convenient,positive
Kawan saya friendly,positive
UNITEN COE very cantik,positive
Uniten ada facilities yg complete,positive
murahnya food at uniten,positive
Cafe uniten makanan sedap sedap,positive
All the places in Uniten sangat bersih,positive
Facilities uniten really lengkap,positive
UNITEN ada free coway tak thirsty ,positive
Dapat block bilik yang terpaling amanah,positive
Uniten enviroment was bukan beshe beshe,positive
Mineral water murah only RM1,positive
UNITEN MANTAP got a lot of scenerio,positive
Uniten punya facilities are well equipped,positive
Uniten got hostel cantik2,positive
uniten cares lebih daripada kita,positive
UNITEN ada banyak parking ,positive
Food kat UNITEN sedappsss,positive
Internet dekat sini is everywhere,positive
food upten kedai makcik 60-an delicious wooo,positive
ehh jom lepak at food court perpustaikaan tu,positive
range Eduroam sangat besar,positive
Housemate i sangatlah very nice,positive
Ada kucen comei kat murni,positive
Kios help gan ada nessary item to beli even emegency items dan kits also ,positive
UNITEN cafes soooo bersih ,positive
Semua tempat di Uniten very clean,positive
Uniten cafe food the best,positive
Uniten in me <3,positive
uniten course sangat cheap,positive
WIFI Connection BAGUS,positive
Uniten very bagus at managing,positive
Masak lemak cili padi dekat Upten mmg sedap,positive
Near Other univeristi,positive
The staff in Uniten is so baik,positive
Nasi ayam coe very good,positive
